Doctor Name,Specialization,Phone Number,City,Latitude,Longitude,Image URL
Dr. Vihaan Nair,General Physician,9592931759,Pune,18.556702,73.847469,https://source.unsplash.com/1600x900/?doctor
Dr. Siya Sharma,Pulmonologist,9563998251,Bhopal,23.289246,77.460174,https://source.unsplash.com/1600x900/?doctor
Dr. Pari Bhat,Dentist,9523713959,Patna,25.609554,85.178652,https://source.unsplash.com/1600x900/?doctor
Dr. Pari Bhat,Rheumatologist,9027260838,Lucknow,26.809608,80.957163,https://source.unsplash.com/1600x900/?doctor
Dr. Myra Joshi,Nephrologist,9633250697,Delhi,28.696059,77.132297,https://source.unsplash.com/1600x900/?doctor
Dr. Saanvi Nair,General Physician,9303766192,Hyderabad,17.361368,78.531716,https://source.unsplash.com/1600x900/?doctor
Dr. Saanvi Gupta,Ophthalmologist,9092411243,Ahmedabad,23.026212,72.550688,https://source.unsplash.com/1600x900/?doctor
Dr. Sai Nair,Gastroenterologist,9839946913,Delhi,28.747199,77.056951,https://source.unsplash.com/1600x900/?doctor
Dr. Vihaan Sharma,Gastroenterologist,9596066545,Ahmedabad,23.060922,72.553715,https://source.unsplash.com/1600x900/?doctor
Dr. Siya Patel,Ophthalmologist,9542159348,Hyderabad,17.414183,78.465458,https://source.unsplash.com/1600x900/?doctor
Dr. Reyansh Sharma,Cardiologist,9780776993,Chandigarh,30.701936,76.815116,https://source.unsplash.com/1600x900/?doctor
Dr. Aditya Sharma,Psychiatrist,9949433983,Chennai,13.126167,80.305078,https://source.unsplash.com/1600x900/?doctor
Dr. Saanvi Joshi,Rheumatologist,9833690330,Delhi,28.697615,77.085492,https://source.unsplash.com/1600x900/?doctor
Dr. Reyansh Patel,Urologist,9064173133,Bhopal,23.25692,77.413512,https://source.unsplash.com/1600x900/?doctor
Dr. Avni Bhat,Dermatologist,9266236480,Pune,18.471167,73.890118,https://source.unsplash.com/1600x900/?doctor
Dr. Sai Bhat,Urologist,9699704718,Patna,25.588893,85.151543,https://source.unsplash.com/1600x900/?doctor
Dr. Avni Patel,Pulmonologist,9129826423,Pune,18.470464,73.877826,https://source.unsplash.com/1600x900/?doctor
Dr. Avni Joshi,Gastroenterologist,9908954862,Chandigarh,30.732095,76.801768,https://source.unsplash.com/1600x900/?doctor
Dr. Prisha Joshi,Rheumatologist,9566194004,Mumbai,19.03638,72.847693,https://source.unsplash.com/1600x900/?doctor
Dr. Vihaan Sharma,ENT Specialist,9437786283,Delhi,28.751827,77.086483,https://source.unsplash.com/1600x900/?doctor
Dr. Aarav Joshi,Pulmonologist,9007216088,Bengaluru,12.92476,77.564539,https://source.unsplash.com/1600x900/?doctor
Dr. Anika Verma,Endocrinologist,9969433847,Chennai,13.090424,80.246566,https://source.unsplash.com/1600x900/?doctor
Dr. Aditya Verma,Allergist,9321149367,Bhopal,23.234423,77.420357,https://source.unsplash.com/1600x900/?doctor
Dr. Anaya Patel,Ophthalmologist,9315845376,Jaipur,26.868693,75.786942,https://source.unsplash.com/1600x900/?doctor
Dr. Vivaan Sharma,Dermatologist,9467943122,Pune,18.527704,73.840091,https://source.unsplash.com/1600x900/?doctor
Dr. Aarav Patel,Allergist,9925904292,Jaipur,26.866691,75.757805,https://source.unsplash.com/1600x900/?doctor
Dr. Ira Verma,General Physician,9993537823,Patna,25.586325,85.141222,https://source.unsplash.com/1600x900/?doctor
Dr. Krishna Patel,Nephrologist,9931827082,Lucknow,26.863911,80.924909,https://source.unsplash.com/1600x900/?doctor
Dr. Prisha Patel,Orthopedic Surgeon,9045651373,Mumbai,19.077419,72.886161,https://source.unsplash.com/1600x900/?doctor
Dr. Prisha Joshi,Psychiatrist,9225859966,Pune,18.52571,73.828675,https://source.unsplash.com/1600x900/?doctor
Dr. Aadhya Bhat,Ophthalmologist,9190265832,Nagpur,21.193838,79.105217,https://source.unsplash.com/1600x900/?doctor
Dr. Saanvi Gupta,Plastic Surgeon,9151477930,Delhi,28.698739,77.094235,https://source.unsplash.com/1600x900/?doctor
Dr. Aditya Kumar,Cardiologist,9161177372,Indore,22.733877,75.819544,https://source.unsplash.com/1600x900/?doctor
Dr. Sai Kumar,Psychiatrist,9429132444,Chennai,13.11446,80.308479,https://source.unsplash.com/1600x900/?doctor
Dr. Arjun Joshi,Oncologist,9321848889,Mumbai,19.121127,72.845883,https://source.unsplash.com/1600x900/?doctor
Dr. Sai Verma,Dentist,9885679969,Bhopal,23.308591,77.37348,https://source.unsplash.com/1600x900/?doctor
Dr. Ishaan Gupta,Gynecologist,9890284128,Chandigarh,30.708917,76.815975,https://source.unsplash.com/1600x900/?doctor
Dr. Myra Sharma,Allergist,9765132536,Ahmedabad,22.991872,72.54065,https://source.unsplash.com/1600x900/?doctor
Dr. Prisha Sharma,Nephrologist,9154062371,Nagpur,21.1638,79.086541,https://source.unsplash.com/1600x900/?doctor
Dr. Pari Bhat,ENT Specialist,9034956336,Bhopal,23.29605,77.417688,https://source.unsplash.com/1600x900/?doctor
Dr. Arjun Chopra,Allergist,9774366015,Ahmedabad,23.012604,72.546983,https://source.unsplash.com/1600x900/?doctor
Dr. Avni Nair,Plastic Surgeon,9984263468,Lucknow,26.801121,80.958599,https://source.unsplash.com/1600x900/?doctor
Dr. Vihaan Kumar,Neurologist,9509120589,Bhopal,23.270459,77.377498,https://source.unsplash.com/1600x900/?doctor
Dr. Anaya Sharma,Urologist,9987307223,Bengaluru,12.962491,77.553444,https://source.unsplash.com/1600x900/?doctor
Dr. Myra Bhat,Dermatologist,9075105195,Nagpur,21.129392,79.104454,https://source.unsplash.com/1600x900/?doctor
Dr. Vivaan Bhat,Ophthalmologist,9520873161,Nagpur,21.127872,79.057498,https://source.unsplash.com/1600x900/?doctor
Dr. Prisha Kumar,Cardiologist,9359087220,Delhi,28.731917,77.150247,https://source.unsplash.com/1600x900/?doctor
Dr. Vihaan Sharma,Cardiologist,9168856665,Bhopal,23.28273,77.451339,https://source.unsplash.com/1600x900/?doctor
Dr. Anika Bhat,Orthopedic Surgeon,9079501482,Ahmedabad,23.028222,72.604536,https://source.unsplash.com/1600x900/?doctor
Dr. Vihaan Kumar,Gastroenterologist,9558605973,Bhopal,23.267861,77.440024,https://source.unsplash.com/1600x900/?doctor
Dr. Ishaan Bhat,Dermatologist,9587945245,Indore,22.754123,75.906144,https://source.unsplash.com/1600x900/?doctor
Dr. Reyansh Chopra,Psychiatrist,9747101586,Mumbai,19.043128,72.916771,https://source.unsplash.com/1600x900/?doctor
Dr. Avni Reddy,Gynecologist,9901561981,Kolkata,22.545331,88.398232,https://source.unsplash.com/1600x900/?doctor
Dr. Ira Bhat,Nephrologist,9257994906,Patna,25.635115,85.137661,https://source.unsplash.com/1600x900/?doctor
Dr. Anaya Reddy,Allergist,9798950706,Chandigarh,30.76506,76.76382,https://source.unsplash.com/1600x900/?doctor
Dr. Vivaan Reddy,Nephrologist,9367120084,Pune,18.472792,73.904173,https://source.unsplash.com/1600x900/?doctor
Dr. Aditya Verma,Pediatrician,9222760525,Nagpur,21.136809,79.068871,https://source.unsplash.com/1600x900/?doctor
Dr. Aadhya Verma,Nephrologist,9622461493,Jaipur,26.935106,75.757613,https://source.unsplash.com/1600x900/?doctor
Dr. Ira Verma,Nephrologist,9656716820,Indore,22.68377,75.864225,https://source.unsplash.com/1600x900/?doctor
Dr. Anaya Bhat,Dermatologist,9243599002,Patna,25.569628,85.179252,https://source.unsplash.com/1600x900/?doctor
Dr. Anika Kumar,Orthopedic Surgeon,9459788191,Bengaluru,13.006705,77.64133,https://source.unsplash.com/1600x900/?doctor
Dr. Vivaan Chopra,Dermatologist,9065865244,Hyderabad,17.425954,78.451778,https://source.unsplash.com/1600x900/?doctor
Dr. Prisha Chopra,Psychiatrist,9827432980,Ahmedabad,23.016267,72.560407,https://source.unsplash.com/1600x900/?doctor
Dr. Anika Kumar,Nephrologist,9956126947,Kolkata,22.590223,88.342921,https://source.unsplash.com/1600x900/?doctor
Dr. Ishaan Joshi,Ophthalmologist,9326070698,Bhopal,23.308239,77.408771,https://source.unsplash.com/1600x900/?doctor
Dr. Krishna Chopra,Endocrinologist,9396762879,Lucknow,26.890635,80.910726,https://source.unsplash.com/1600x900/?doctor
Dr. Vihaan Nair,Rheumatologist,9453048145,Hyderabad,17.394216,78.525783,https://source.unsplash.com/1600x900/?doctor
Dr. Aditya Bhat,Dentist,9258442527,Jaipur,26.955001,75.738394,https://source.unsplash.com/1600x900/?doctor
Dr. Sai Reddy,Rheumatologist,9478647241,Indore,22.729328,75.837505,https://source.unsplash.com/1600x900/?doctor
Dr. Myra Nair,Gynecologist,9210599050,Patna,25.598171,85.164086,https://source.unsplash.com/1600x900/?doctor
Dr. Ayaan Sharma,Nephrologist,9273797143,Bengaluru,12.975968,77.558156,https://source.unsplash.com/1600x900/?doctor
Dr. Aditya Kumar,Psychiatrist,9873527619,Nagpur,21.151798,79.092476,https://source.unsplash.com/1600x900/?doctor
